Entity;Year;Change in female height (cm);Change in male height (cm);mean male height;mean female height;Change in male height(%);Change in female height (%);Calories from animal protein;Human Development Index (UNDP);Continent;Mortality
Japan;1996;16.0212277;14.6506965;170.8176462;158.3148015;9.381432197;11.25927705;139.84;0.845;Asia;0,55
Jordan;1996;8.623222;12.1424098;171.0322072;158.8280511;7.642032402;5.740975208;221.64;0.686;Asia;3
Kazakhstan;1996;8.4441945;9.9113315;171.1440372;159.5783409;6.147221469;5.587218177;77.76;0.666;Asia;5,170000000000001
Kenya;1996;2.2609151;3.9200198;169.6400915;158.16405;2.365446599;1.450205027;147.84;0.455;Africa;1,2022
Kiribati;1996;5.2643497;2.3617005;169.2042839;157.0008244;1.415526212;3.469402931;58.68;;Oceania;7,940000000000001
Kuwait;1996;9.1690905;11.5622671;172.0676564;159.4295678;7.203662849;6.102130557;137.72;0.789;Asia;1,3900000000000001
Kyrgyzstan;1996;9.1694365;10.989261;171.239191;159.3541814;6.857576162;6.10543801;214.44;0.772;Asia;6,010000000000001
Laos;1996;6.5799561;7.6343693;160.5189936;151.2676137;4.99354944;4.547696887;132;0.568;Asia;12,340000000000002
Latin America and Caribbean;1996;10.5951;10.9302;171.1056;158.5122;6.823894306;7.162863523;33.4;0.441;South America;
Latvia;1996;14.2864223;12.0418559;181.4223721;169.7979307;7.109351282;9.186729939;;;Europe;1,9000000000000001
Lebanon;1996;12.8172974;13.6748312;174.3885685;162.4293761;8.508812893;8.567020465;187.8;0.68;Asia;2,1942
Lesotho;1996;2.6446987;4.270037;165.5897658;155.7082754;2.646940354;1.727843264;113.36;;Africa;9,1948
Liberia;1996;4.0430933;4.9891749;163.6602657;155.6603971;3.144350288;2.666643713;33.6;0.487;Africa;23,62
Libya;1996;11.9061282;12.2638897;173.5284006;162.0842575;7.604828633;7.928004068;25.32;;Africa;3,2019
Lithuania;1996;12.5270636;10.0994542;179.028358;166.6160881;5.978523493;8.129757224;;0.709;Europe;1,1934
Luxembourg;1996;9.6010285;10.5326271;177.8626466;164.4286678;6.294523321;6.201107595;193.08;0.712;Europe;0,5900000000000001
Madagascar;1996;1.5028805;2.8652616;161.5474932;151.1801437;1.805660011;1.004080692;;0.817;Africa;12,780000000000001
Malawi;1996;2.9937009;3.0213635;162.2277323;154.4046692;1.897765474;1.977202136;55.08;;Africa;20,14
Malaysia;1996;8.7536982;10.3137102;167.8849165;156.29668;6.545428218;5.932981761;19.4;0.385;Asia;1,2029
Maldives;1996;11.1315789;11.850151;167.6836237;155.0193566;7.604368172;7.736292184;172.6;0.695;Asia;5,760000000000001
Mali;1996;4.3985767;6.031015;171.1194632;160.4650957;3.653202308;2.818398673;216;0.553;Africa;20,76
Malta;1996;10.6617418;11.4309438;173.3197324;160.8546419;7.060985445;7.098698935;65.8;0.271;Europe;0,9
Marshall Islands;1996;2.5926642;0.5152902;162.8089916;151.3064655;0.317504743;1.743391788;224.4;0.763;Oceania;11,2022
Mauritania;1996;2.762087;1.7633119;163.2810601;157.7219137;1.091714019;1.782453594;;;Africa;11,1933
Mauritius;1996;9.1216094;9.866225;170.4992686;157.2444285;6.14208931;6.158139209;113.4;0.428;Africa;2,2027
Mexico;1996;13.3718536;12.2625325;169.0114702;156.8488218;7.823040258;9.319860719;112.48;0.652;North America;3,1941
Micronesia (country);1996;3.6403721;3.8548336;168.510704;156.0856618;2.341145561;2.38798595;123;0.677;Oceania;5,460000000000001
Middle East and North Africa;1996;8.943;10.9653;170.5135;158.7462;6.872719341;5.96983242;;;Europe;
Moldova;1996;10.9881187;10.856921;175.489202;163.2428841;6.594648956;7.216929251;;;Europe;3,8600000000000003
Mongolia;1996;10.3232655;9.9695674;169.0656778;158.2170522;6.26638035;6.980188776;101.52;0.591;Asia;4,2022
Montenegro;1996;12.7037508;11.8195311;178.2755341;164.8559181;7.100693809;8.349372227;198.48;0.561;Europe;1,1951
Morocco;1996;7.0501206;11.1925017;170.4001635;157.8216326;7.030127554;4.676029647;;;Africa;5,960000000000001
Mozambique;1996;3.092918;5.6755522;164.7975642;153.9601295;3.566792632;2.050092906;55;0.499;Africa;21
Myanmar;1996;8.7735287;7.3603854;164.6726735;154.371918;4.67883691;6.025841867;21.32;0.253;Asia;9,1988
Namibia;1996;1.9790626;2.7681319;166.9643668;158.7785447;1.685868072;1.262161439;29.4;0.404;Africa;7,2021
Nauru;1996;2.193519;3.0244573;167.8324823;153.9823756;1.835139581;1.445112012;60.4;0.581;Oceania;4,1975
Nepal;1996;6.724711;4.7664219;162.3183332;150.860985;3.025302493;4.66552299;;;Asia;10,2016
Netherlands;1996;13.8941705;13.1034583;182.5353792;168.7185794;7.733760103;8.974147293;34.88;0.42;Europe;0,67
New Zealand;1996;8.9831385;10.2520135;177.7363938;164.9405475;6.121175886;5.759994705;298.52;0.866;Oceania;0,8400000000000001
Nicaragua;1996;8.2831319;9.5210114;166.7062391;154.3935365;6.057192231;5.66909107;215.64;0.854;North America;4,1984
